claim_amount,previous_claims,rejected_claims,claim_frequency,evidence_status,document_consistency,claim_after_policy,risk
391560,5,1,1,0,0,8,Medium
144681,3,3,0,0,0,1,Medium
74808,4,3,1,1,1,23,Medium
147636,1,0,1,1,1,24,Low
300522,7,0,0,2,2,14,High
95976,0,3,0,1,1,16,Medium
687375,0,0,0,0,1,4,Medium
918262,6,1,0,0,0,14,High
45118,0,2,0,1,1,20,Low
849825,2,4,1,1,0,15,High
894456,7,1,0,0,1,19,High
126573,0,0,0,1,1,8,Low
167053,2,1,0,0,0,15,Low
43275,6,2,2,0,0,3,Medium
740928,9,2,2,2,0,9,High
152994,1,1,1,1,0,23,Low
178987,2,4,0,1,1,3,Medium
399472,0,0,0,0,1,13,Low
583153,6,2,0,0,0,23,High
349083,2,2,2,2,1,8,High
125665,1,1,0,0,2,5,Low
34968,1,2,1,1,0,13,Low
51348,1,0,1,0,2,8,Low
956199,9,3,0,2,0,1,High
465426,1,0,2,0,0,20,Medium
857084,6,0,2,1,2,3,High
84127,6,1,0,2,2,18,High
74607,0,4,0,0,2,24,Medium
723023,1,0,0,0,0,3,Low
356438,3,0,0,1,1,18,Medium
608141,0,2,1,1,1,18,Medium
620613,0,3,1,0,0,5,Medium
148993,0,0,0,1,2,6,Low
992274,0,2,2,1,2,2,High
40394,2,0,1,0,0,5,Low
281413,1,0,0,0,0,23,Low
731323,7,1,1,1,1,22,High
285593,0,0,0,0,1,13,Low
21095,0,1,0,1,0,20,Low
402238,2,3,0,0,0,7,Medium
185909,0,0,0,0,1,6,Low
72810,1,0,0,0,2,24,Low
174898,3,0,0,1,0,13,Low
131429,1,0,1,0,1,9,Low
967597,0,4,0,1,0,5,Medium
438654,5,1,0,0,0,13,Medium
602176,7,2,2,0,0,21,High
98509,0,1,1,0,0,17,Low
938833,4,0,2,0,0,0,High
822080,0,2,0,0,2,21,Medium
120353,3,1,2,0,0,24,Medium
252931,9,1,2,2,0,17,High
80833,1,0,1,1,1,2,Low
977437,8,4,0,0,1,4,High
100388,3,0,0,1,0,8,Low
