claim_amount,previous_claims,rejected_claims,claim_frequency,evidence_status,document_consistency,claim_after_policy,risk
141958,5,0,2,1,2,4,High
691155,9,3,2,0,0,24,High
151932,2,1,0,0,0,23,Low
385838,5,1,2,2,1,5,High
279178,5,4,0,1,2,0,High
664167,1,3,2,2,0,9,High
130268,6,2,1,0,1,4,Medium
752180,1,4,0,1,1,0,High
74886,5,1,2,2,1,22,High
157337,0,3,1,2,2,10,High
541430,2,4,2,2,2,23,High
974698,1,3,1,0,1,23,Medium
107498,6,1,1,2,2,6,High
919159,3,4,2,1,2,17,High
932756,7,1,2,2,0,20,High
195203,5,0,1,0,1,19,Medium
211335,9,1,1,2,1,20,High
298167,3,3,1,0,2,9,High
61090,4,2,0,0,1,24,Medium
349365,8,1,1,1,1,14,High
84820,6,2,0,1,1,3,Medium
807201,9,0,1,2,2,15,High
341879,8,4,0,0,2,14,High
738315,6,4,1,0,2,14,High
347069,0,2,1,1,0,11,Medium
796997,7,4,1,1,1,7,High
219041,3,1,2,2,0,7,High
811743,2,2,2,0,2,17,High
123355,6,3,1,1,0,5,High
255796,2,1,0,2,1,4,High
234176,7,1,0,0,1,1,High
204779,5,1,1,0,2,11,High
367449,4,3,2,1,2,3,High
441909,3,0,0,2,0,22,Medium
278795,7,4,2,1,2,12,High
506232,7,2,0,2,0,16,High
937040,0,0,1,0,1,15,Medium
520186,8,2,2,2,1,8,High
176730,4,4,0,2,1,0,High
890910,3,3,1,2,1,14,High
404681,5,1,1,2,1,11,High
169503,5,1,1,2,0,4,High
674811,1,3,2,1,1,22,High
547035,7,0,2,2,0,23,High
668143,6,0,1,2,1,17,High
472366,0,2,2,0,0,19,Medium
85725,4,3,0,2,0,1,High
149981,5,0,1,0,0,3,Medium
104654,3,3,1,1,2,14,High
973277,1,4,2,1,0,5,High
925778,3,1,1,2,0,21,High
611723,0,1,0,1,1,11,Medium
339030,6,1,2,2,0,17,High
348947,1,3,2,1,0,19,High
575839,1,3,1,2,2,3,High
922648,8,2,1,2,1,0,High
293538,4,1,1,0,2,14,High
351236,1,2,2,0,2,17,Medium
548178,8,1,1,0,2,13,High
585894,8,2,0,0,0,2,High
509492,0,2,1,2,2,14,High
276840,2,4,1,1,2,4,High
493254,3,2,2,2,1,23,High
369457,6,3,1,0,1,21,High
685987,9,2,2,0,1,2,High
290936,3,1,1,1,1,21,High
259931,1,2,0,0,2,6,Medium
259629,6,0,0,2,1,5,High
225041,5,1,2,2,0,21,High
